City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,breaux bridge,30.2735323,-91.8992837,33.03,48,20,1.54,US,2024-09-30
101,newman,37.3139487,-121.0204222,33.73,13,0,2.74,US,2024-09-30
102,musoma,-1.4998186,33.8083018,22.08,66,46,2.39,TZ,2024-09-30
103,flying fish cove,-10.4213344,105.674413,26.24,88,100,5.66,AU,2024-09-30
104,prestea,5.4336458,-2.1423648,23.1,96,45,1.64,GH,2024-09-30
105,midvagur,62.0491394,-7.189202,8.51,87,75,4.63,FO,2024-09-30
106,alvaraes,-3.2155787,-64.8148327,31.03,42,73,2.9,BR,2024-09-30
107,sussex,43.1339001,-88.2220372,26.64,63,40,4.12,US,2024-09-30
108,blackmans bay,-43.004684,147.3179857,13.25,59,31,0.89,AU,2024-09-30
109,codrington,51.508188,-2.3936619,11.66,85,58,3.13,GB,2024-09-30
110,adrar,27.8733807,-0.2874884,35.12,18,0,4.12,DZ,2024-09-30
111,vadso,70.22671985,29.78277929931153,2.11,60,20,8.23,NO,2024-09-30
112,talara,-4.5796872,-81.2718335,24.42,78,0,5.14,PE,2024-09-30
113,kralendijk,12.1472869,-68.2740206,32.03,62,75,4.63,NL,2024-09-30
114,hauterive,48.4774049,0.1989853,13.31,83,100,5.77,FR,2024-09-30
115,north bend,47.4957757,-121.784889,18.69,55,23,1.34,US,2024-09-30
116,lompoc,34.6391501,-120.4579409,25.23,60,3,5.14,US,2024-09-30
117,tofol,5.326022,163.0087193,29.61,71,95,8.13,FM,2024-09-30
118,labrador city,52.9422944,-66.9177291,13.98,48,75,2.57,CA,2024-09-30
119,bardai,21.3549506,17.0005053,27.63,17,4,2.78,TD,2024-09-30
120,kalengwa,-13.4669084,25.0030652,22.04,38,66,0.72,ZM,2024-09-30
121,mount gambier,-37.8246698,140.7820067624113,9.74,98,36,1.96,AU,2024-09-30
122,amursk,50.2299352,136.9014652,4.48,80,100,2.29,RU,2024-09-30
123,tiksi,71.636604,128.868546,-6.65,94,100,1.52,RU,2024-09-30
124,nuuk,64.175029,-51.7355386,1.65,100,100,5.81,GL,2024-09-30
125,puerto carreno,6.1879711,-67.4894667,32.99,52,40,2.06,CO,2024-09-30
126,delta,38.7436121,-108.0729172,30.01,12,0,3.66,US,2024-09-30
127,georgetown,6.8137426,-58.1624465,32.99,62,40,5.14,GY,2024-09-30
128,thompson,55.743347,-97.863464,10.1,93,100,3.6,CA,2024-09-30
129,katabu,10.6948039,7.511558,21.78,93,100,3.51,NG,2024-09-30
130,lazaro cardenas,20.225,-97.5931,29.13,66,16,2.74,MX,2024-09-30
131,ust-nera,64.566376,143.237839,-4.84,84,92,1.32,RU,2024-09-30
132,san juan,18.465299,-66.116666,31.89,70,40,4.63,US,2024-09-30
133,musay'id,34.8608909,37.3342629,18.73,81,0,5.76,SY,2024-09-30
134,kenai,60.5544444,-151.258333,8.34,71,0,7.2,US,2024-09-30
135,oudtshoorn,-33.5902954,22.204206,7.58,73,25,2.61,ZA,2024-09-30
136,badger,42.614418,-94.1461643,29.38,34,0,5.66,US,2024-09-30
137,lerwick,60.1531357,-1.1427296,11.23,87,97,5.74,GB,2024-09-30
138,wailua homesteads,22.0580742,-159.3691081,25.59,84,40,6.17,US,2024-09-30
139,porto novo,6.4990718,2.6253361,25.19,85,71,3.55,BJ,2024-09-30
140,puerto ayora,-0.7471674,-90.3134198,21.78,91,97,4.92,EC,2024-09-30
141,san vicente de canete,-13.077767,-76.3874465,17.75,81,87,3.95,PE,2024-09-30
142,college,45.32664695,-75.83855656986515,23.95,56,0,4.02,CA,2024-09-30
143,naantali,60.4688687,22.0291149,1.26,100,0,1.03,FI,2024-09-30
144,bath,51.3813864,-2.3596963,12.24,86,58,7.56,GB,2024-09-30
145,pathein,16.783333,94.733333,26.75,90,100,2.82,MM,2024-09-30
146,constantia,44.1767161,28.6507598,9.47,90,100,14.3,RO,2024-09-30
147,susuman,62.779732,148.15361,-4.43,71,11,1.12,RU,2024-09-30
148,birao,10.2961965,22.7809907,22.59,86,100,2.4,CF,2024-09-30
149,kodiak,57.79,-152.4072222,8.73,87,100,10.29,US,2024-09-30
150,enewetak,11.3408906,162.3245486,29.05,74,81,7.12,MH,2024-09-30
151,wladyslawowo,54.7796139,18.4137851,8.91,46,78,7.11,PL,2024-09-30
152,kapa'a,-33.928992,18.417396,10.75,67,40,2.57,ZA,2024-09-30
153,mohr,27.5514645,52.8821254,26.15,73,0,1.43,IR,2024-09-30
154,hasaki,35.7529706,140.8201321,23.66,89,100,6.73,JP,2024-09-30
155,rongelap,11.16290265,166.8943032722801,28.26,76,100,4.89,MH,2024-09-30
156,lethem,3.3749987,-59.7958674,33.0,49,100,0.83,GY,2024-09-30
157,pemangkat,1.156069,108.97129192715386,25.39,84,100,1.56,ID,2024-09-30
158,loreto,43.439498,13.6070214,16.46,73,6,1.31,IT,2024-09-30
159,bargara,-24.8154799,152.4630414,20.32,81,93,7.17,AU,2024-09-30
160,ola,35.0323119,-93.2232345,30.59,37,48,1.53,US,2024-09-30
161,dali,25.6802435,100.3001222,17.2,89,100,1.22,CN,2024-09-30
162,keflavik,63.9997694,-22.5565373,3.24,81,75,2.06,IS,2024-09-30
163,chonchi,-42.6239756,-73.7724416,9.73,53,88,2.19,CL,2024-09-30
164,archangelos,36.2154661,28.1173802,22.99,58,0,6.15,GR,2024-09-30
165,fort bragg,35.140311,-79.15414649804102,30.71,66,100,3.09,US,2024-09-30
166,howard springs,-12.4969791,131.0470011,25.95,85,57,2.31,AU,2024-09-30
167,sisimiut,66.9371906,-53.6664816,4.62,86,100,0.43,GL,2024-09-30
168,praia da vitoria,38.739237599999996,-27.156264396780458,23.4,78,40,5.11,PT,2024-09-30
169,portland,45.5202471,-122.674194,22.16,45,11,3.58,US,2024-09-30
170,qaqortoq,60.718202,-46.0385214,3.67,98,100,2.09,GL,2024-09-30
171,mount pearl,47.518910500000004,-52.814475267278404,14.03,89,100,3.09,CA,2024-09-30
172,malango,-2.9626669,119.9001019,18.92,93,100,1.02,ID,2024-09-30
173,sitka,57.0524973,-135.337612,11.9,54,100,10.29,US,2024-09-30
174,nemuro,43.3301154,145.5829068,16.94,98,100,5.6,JP,2024-09-30
175,valdivia,-39.8141262,-73.2459859,12.05,64,100,2.78,CL,2024-09-30
176,carnarvon,-24.8826131,113.6576486,18.73,74,0,5.75,AU,2024-09-30
177,xilin hot,43.9312058,116.0789127,0.64,89,100,1.72,CN,2024-09-30
178,tazacorte,28.642858,-17.9326028,22.38,90,20,6.17,ES,2024-09-30
179,puerto gaitan,6.2261784,-71.4326372,33.95,43,53,3.2,CO,2024-09-30
180,san patricio,27.9695325,-97.7731720386266,35.1,28,0,1.53,US,2024-09-30
181,tete,-16.1603989,33.5871474,34.05,21,0,3.6,MZ,2024-09-30
182,parthenay,46.6481266,-0.2472687,14.62,89,100,4.16,FR,2024-09-30
183,argo,33.6882155,-86.50140447889957,26.01,62,70,0.89,US,2024-09-30
184,santa croce camerina,36.827897,14.5255384,18.82,82,0,1.54,IT,2024-09-30
185,picui,-6.5106721,-36.3492736,26.06,54,93,9.5,BR,2024-09-30
186,la foa,-21.7096941,165.8259295,22.54,77,0,0.9,FR,2024-09-30
187,bizerte,37.2720905,9.8708565,21.99,60,0,4.12,TN,2024-09-30
188,east london,-33.0191604,27.8998573,12.72,56,31,10.14,ZA,2024-09-30
189,ilulissat,69.2197127,-51.0986385,1.38,96,100,1.99,GL,2024-09-30
190,kirovsk,59.8813954,30.9855331,4.01,77,48,0.29,RU,2024-09-30
191,puerto lempira,15.2656275,-83.7740635,30.04,66,40,4.12,HN,2024-09-30
192,al jawf,24.1985492,23.2938969,26.91,36,0,4.03,LY,2024-09-30
193,visby,57.6379361,18.297982,4.99,81,9,2.06,SE,2024-09-30
194,west bay,45.3721337,-64.3945712,19.69,56,3,6.31,CA,2024-09-30
195,bairnsdale,-37.8254509,147.6304752,6.11,96,0,1.79,AU,2024-09-30
196,puerto baquerizo moreno,-0.902599,-89.610191,22.81,78,100,6.17,EC,2024-09-30
197,belyy yar,53.596436,91.382362,10.92,50,0,6.0,RU,2024-09-30
198,port alfred,-33.5981844,26.8914772,10.03,80,49,3.58,ZA,2024-09-30
199,tolanaro,-25.0296943,46.9903888,23.88,78,0,8.23,MG,2024-09-30
200,cranbrook,49.5107477,-115.7672772,11.07,35,40,2.57,CA,2024-09-30
201,sarandi del yi,-33.3442144,-55.6313253,25.75,70,99,4.28,UY,2024-09-30
202,sao tome,0.3389242,6.7313031,25.95,81,51,3.54,ST,2024-09-30
203,quellon,-43.1200305,-73.6203025,7.08,58,68,3.4,CL,2024-09-30
204,villa sandino,11.9469184,-85.9496636,25.09,94,100,2.42,NI,2024-09-30
205,kardla,58.99521045,22.745928753411672,7.7,60,0,2.22,EE,2024-09-30
206,malindi,-3.2165987,40.1165933,25.11,78,20,0.0,KE,2024-09-30
207,anadyr,64.7316875,177.5060925,6.93,93,75,7.0,RU,2024-09-30
208,puerto san carlos,-12.6607539,-63.5500203,35.45,35,80,2.99,BO,2024-09-30
209,hamilton,43.2560802,-79.8728583,21.9,82,75,5.66,CA,2024-09-30
210,clear lake,43.1370751,-93.3813637,28.67,40,0,6.89,US,2024-09-30
211,wau,7.7001398,27.9909335,21.89,94,69,1.42,SS,2024-09-30
212,cessnock,-32.8316667,151.3511111,9.96,95,0,0.89,AU,2024-09-30
213,conde,-11.8129758,-37.6138705,24.86,63,2,4.44,BR,2024-09-30
214,yuzhno-kurilsk,44.0270756,145.8613722,16.76,98,100,3.81,RU,2024-09-30
215,sondrio,46.1713553,9.8734274,12.73,93,5,0.95,IT,2024-09-30
216,mejit,10.28434145,170.8698842802093,26.63,79,93,2.17,MH,2024-09-30
217,wagar,33.8567672,75.2613473,16.02,41,0,2.43,IN,2024-09-30
218,kununurra,-15.7730916,128.738839,19.95,88,0,2.06,AU,2024-09-30
219,kingston,17.9712148,-76.7928128,32.12,79,40,3.09,JM,2024-09-30
